
e;75891;'bel';1;60
e;5792106;'badjidj bel batata';777;0
e;15031632;'appelée à un bel avenir';1;0
e;15031634;'appelés à un bel avenir';1;0
e;5801185;'doja bel bsal';777;0
e;16032167;'dans un bel état';1;0
e;2392199;'bel-étage';1;0
e;15230427;'bel avenir';1;0
e;16027804;'bel endroit';1;0
e;15331151;'bel hommage';1;0
e;15942909;'bel été';1;0
e;15209858;'bel, belle';1;0
e;14655961;'bel-Abbès';1;0
e;15536975;'bien et bel';1;0
e;2378035;'bel-oncle';1;0
e;2381796;'bel-outil';1;0
e;5801326;'marka bel assel';777;0
e;10509561;'Un si bel été';777;0
e;5622434;'serdine bel fliou';777;0
e;10145208;'Un si bel inconnu';777;0
e;12774974;'Le bel Hubert';777;0
e;3753450;'bel oignon émincé';1;0
e;3759346;'chorba hamra bel frik : soupe algérienne à la tomate et au blé concassé';1;0
e;3758157;'bel oignon coupé en dés';1;0
e;3751731;'bel oignon haché';1;0
e;2604454;'il n'y a si bel acquêt que le don';1;0
e;3759471;'felfel bel tomatich : salade algérienne de tomates et poivrons grillés';1;0
e;335923;'appelé à un bel avenir';1;50
e;338933;'bel exemple de réussite';1;50
e;338906;'bel enfant';1;50
e;373791;'promis à un bel avenir';1;50
e;348540;'du plus bel effet';1;50
e;338931;'bel appétit';1;50
e;346508;'dans un bel ensemble';1;50
e;338932;'bel et bon';1;50
e;338908;'bel optimisme';1;50
e;337894;'avec un bel ensemble';1;50
e;67217;'Sidi-bel-Abbès';1;50
e;181071;'bel-esprit';1;50
e;179160;'bel-enfant';1;2
e;42133;'plaine de Sidi-bel-Abbès';1;50
e;229553;'bel italien';1;52
e;234867;'Vous allez rencontrer un bel et sombre inconnu';1;50
e;244024;'bel essai';1;50
e;253431;'avoir un bel organe';1;68
e;100857;'bel paese';1;50
e;165921;'bel ami';1;56
e;166433;'bel homme';1;56
e;202051;'il y a bel âge';1;50
e;45443;'bel et bien';1;50
e;94810;'bel âge';1;50
e;155895;'bel organe';1;76
e;181072;'bel étage';1;50
e;291764;'bel accord';777;50
e;30045;'bel esprit';1;56
e;189395;'Philippe le bel';1;50
e;198936;'du bel';1;50
e;20639;'bel canto';1;86
e;9461;'bel air';1;50
r;114456513;75891;5792106;11;26
r;393561608;75891;15031632;11;26
r;393561233;75891;15031634;11;26
r;113310596;75891;5801185;11;30
r;419764538;75891;16032167;11;30
r;53140039;75891;2392199;11;32
r;419650574;75891;15230427;11;32
r;419650578;75891;16027804;11;32
r;419650582;75891;15331151;11;32
r;419650586;75891;15942909;11;32
r;419650590;75891;15209858;11;32
r;419650594;75891;14655961;11;32
r;419652144;75891;15536975;11;32
r;52233183;75891;2378035;11;33
r;52838886;75891;2381796;11;33
r;113310211;75891;5801326;11;38
r;262045813;75891;10509561;11;41
r;110811844;75891;5622434;11;42
r;236655127;75891;10145208;11;45
r;327877129;75891;12774974;11;47
r;93704307;75891;3753450;11;51
r;16128206;75891;457303;11;52
r;93648663;75891;3759346;11;53
r;93659521;75891;3758157;11;55
r;93720186;75891;3751731;11;55
r;55470242;75891;2604454;11;56
r;77010348;75891;3183810;11;57
r;93647530;75891;3759471;11;57
r;77012581;75891;3183811;11;59
r;16128204;75891;457304;11;60
r;12761975;75891;335923;11;103
r;12749865;75891;338933;11;104
r;12749983;75891;338906;11;104
r;12606765;75891;373791;11;106
r;12709057;75891;348540;11;106
r;12749875;75891;338931;11;106
r;12717599;75891;346508;11;107
r;12749871;75891;338932;11;107
r;12749975;75891;338908;11;107
r;12754125;75891;337894;11;109
r;11868322;75891;67217;11;121
r;11853852;75891;181071;11;122
r;11854010;75891;179160;11;122
r;8871756;75891;42133;11;153
r;8698356;75891;229553;11;161
r;8702513;75891;234867;11;161
r;8708425;75891;244024;11;161
r;8717155;75891;253431;11;161
r;8727871;75891;261158;11;161
r;8727873;75891;261159;11;161
r;8727874;75891;261160;11;161
r;8727875;75891;261161;11;161
r;8604440;75891;100857;11;162
r;8629842;75891;165921;11;162
r;8630138;75891;166433;11;162
r;8671329;75891;202051;11;162
r;8585127;75891;45443;11;163
r;8602235;75891;94810;11;163
r;8624732;75891;155895;11;163
r;8637744;75891;181072;11;163
r;8759574;75891;291764;11;163
r;8580000;75891;30045;11;164
r;8651230;75891;189395;11;164
r;8665942;75891;198936;11;164
r;8576709;75891;20639;11;165
r;8573094;75891;9461;11;168
