
e;74259;'cassé';1;306
e;12978379;'Le Film cassé';777;0
e;6339776;'pied cassé';1;0
e;6419747;'poignet cassé';1;0
e;12116604;'spermatozoïdes à flagelle cassé';1;0
e;5685326;'phénomène de escalator cassé';777;0
e;5795590;'café cassé';777;0
e;15449143;'dé cassé';1;0
e;15250167;'col cassé';1;0
e;10902461;'verre cassé';1;4
e;15250170;'cassé en plusieurs morceaux';1;0
e;15228322;'cassé les oreilles';1;0
e;15250173;'cassé un message';1;0
e;5960868;'À l'enseigne du pot cassé';777;0
e;15324317;'On a cassé la vitre. La porte idem.';1;0
e;15760797;'Le ressort est cassé.';1;0
e;15316016;'Elle s'est cassé la jambe.';1;0
e;15580660;'Il s'est cassé la jambe au ski.';1;0
e;15331865;'Ils ont cassé les vitres.';1;0
e;15348310;'Je me suis cassé la clavicule.';1;0
e;15548073;'Il a cassé une assiette.';1;0
e;15250178;'C'est cassé.';1;0
e;1678454;'à prix cassé';1;0
e;3756491;'pépites de chocolat ou de chocolat cassé en très petits morceaux';1;0
e;3757597;'chocolat pâtissier cassé en petits morceaux';1;0
e;3757099;'pépites de chocolat ou de chocolat cassé en petits morceaux';1;0
e;3174739;'Nez cassé';777;0
e;3190905;'auto-cassé';1;0
e;437522;'vermicelle cassé';1;50
e;3195045;'pré-cassé';1;0
e;3754604;'chocolat noir à pâtisser cassé en morceaux';1;0
e;3189643;'entre-cassé';1;0
e;3706545;'ramasser du verre cassé';1;0
e;3758264;'chocolat au lait cassé en petits morceaux';1;0
e;376776;'riz cassé';1;50
e;386908;'vieillard cassé';1;50
e;260944;'être cassé';1;52
e;217927;'pois cassé';1;50
e;223283;'blé cassé';1;50
e;255638;'prix cassé';1;52
e;259094;'nez cassé';1;8
e;142206;'L'Homme au nez cassé';1;50
e;161562;'pouce cassé';1;50
e;202770;'le moule en est cassé';1;50
e;159290;'blanc cassé';1;58
e;181245;'bras cassé';1;44
e;205443;'petit cassé';1;50
e;283519;'frit cassé';777;50
e;201514;'grand cassé';1;50
r;310675765;74259;9048603;11;15
r;310679122;74259;9048604;11;21
r;310679123;74259;9045904;11;21
r;310675767;74259;3208863;11;25
r;310679124;74259;3208864;11;25
r;310679125;74259;597359;11;25
r;337352539;74259;12978379;11;25
r;301458247;74259;6339776;11;26
r;305700926;74259;6419747;11;26
r;315693342;74259;12116604;11;27
r;112200116;74259;5685326;11;28
r;113800655;74259;5795590;11;28
r;310675766;74259;9045903;11;28
r;419803376;74259;15449143;11;30
r;419716938;74259;15250167;11;31
r;273445077;74259;10902461;11;32
r;419689468;74259;15250170;11;32
r;419689474;74259;15228322;11;32
r;419689478;74259;15250173;11;32
r;116577755;74259;5960868;11;34
r;419518103;74259;15324317;11;34
r;419493405;74259;15760797;11;35
r;397500061;74259;15316016;11;50
r;402109412;74259;15580660;11;50
r;402112235;74259;15331865;11;50
r;402154920;74259;15348310;11;50
r;402102600;74259;15548073;11;50
r;395010727;74259;15250178;11;50
r;27803237;74259;1678454;11;51
r;93674875;74259;3756491;11;51
r;93664661;74259;3757597;11;52
r;93669290;74259;3757099;11;55
r;76454477;74259;3174739;11;56
r;77366019;74259;3190905;11;56
r;14688740;74259;437522;11;57
r;77364740;74259;3195045;11;59
r;93693342;74259;3754604;11;59
r;77366387;74259;3189643;11;60
r;92519241;74259;3706545;11;60
r;93658485;74259;3758264;11;60
r;12594865;74259;376776;11;101
r;12553753;74259;386908;11;109
r;8727641;74259;260944;11;160
r;8690822;74259;217927;11;161
r;8694271;74259;223283;11;161
r;8720064;74259;255638;11;161
r;8725066;74259;259094;11;161
r;8620471;74259;142206;11;162
r;8627527;74259;161562;11;162
r;8672485;74259;202770;11;162
r;8626237;74259;159290;11;163
r;8638033;74259;181245;11;163
r;8676914;74259;205443;11;163
r;8750717;74259;283519;11;163
r;8670484;74259;201514;11;165
